2025-07-26 16:08:02,632 |     INFO | core.Core | 初始化DataSegment: 8 个进程, chunk_size=200000
2025-07-26 16:08:02,632 |     INFO | core.Core | 初始化DataProcessor: chunk_size=200000, n_processes=8
2025-07-26 16:08:02,632 |     INFO | core.Core | ================================================================================
2025-07-26 16:08:02,633 |     INFO | core.Core | 开始完整流水线执行
2025-07-26 16:08:02,633 |     INFO | core.Core | ================================================================================
2025-07-26 16:08:02,633 |     INFO | core.Core | ============================================================
2025-07-26 16:08:02,633 |     INFO | core.Core | 开始数据处理阶段
2025-07-26 16:08:02,634 |     INFO | core.Core | ============================================================
2025-07-26 16:08:02,634 |     INFO | core.Core | 开始数据处理流水线
2025-07-26 16:08:02,635 |     INFO | core.Core | 所有输出文件已存在
2025-07-26 16:08:02,635 |     INFO | core.Core | 执行完整性验证...
2025-07-26 16:08:02,635 |     INFO | core.Core | 开始验证分割结果...
2025-07-26 16:08:27,383 |     INFO | core.Core | 验证结果:
2025-07-26 16:08:27,390 |     INFO | core.Core |   原始数据: 18,145,372 行, 105,539 ranker_id
2025-07-26 16:08:27,391 |     INFO | core.Core |   分割数据: 18,145,372 行, 105,539 ranker_id
2025-07-26 16:08:27,391 |     INFO | core.Core |   行数匹配: True, ranker_id匹配: True
2025-07-26 16:08:28,140 |     INFO | core.Core | 现有分割文件验证通过
2025-07-26 16:08:28,141 |     INFO | core.Core | 开始验证分割结果...
2025-07-26 16:08:31,679 |     INFO | core.Core | 验证结果:
2025-07-26 16:08:31,680 |     INFO | core.Core |   原始数据: 6,897,776 行, 45,231 ranker_id
2025-07-26 16:08:31,680 |     INFO | core.Core |   分割数据: 6,897,776 行, 45,231 ranker_id
2025-07-26 16:08:31,680 |     INFO | core.Core |   行数匹配: True, ranker_id匹配: True
2025-07-26 16:08:31,746 |     INFO | core.Core | 现有分割文件验证通过
2025-07-26 16:08:31,746 |     INFO | core.Core | 验证通过，跳过处理
2025-07-26 16:08:31,747 |     INFO | core.Core | 数据处理阶段完成
2025-07-26 16:08:31,747 |     INFO | core.Core | ============================================================
2025-07-26 16:08:31,747 |     INFO | core.Core | 开始模型训练阶段
2025-07-26 16:08:31,747 |     INFO | core.Core | ============================================================
2025-07-26 16:08:31,748 |     INFO | core.Core | 开始处理 segment_0
2025-07-26 16:08:31,748 |     INFO | core.Core | 开始训练 segment_0 - 使用分层交叉验证
2025-07-26 16:08:32,634 |     INFO | core.Core | 数据形状: (6126014, 126)
2025-07-26 16:08:35,538 |     INFO | core.Core | 原始特征数: 121, 有效特征数: 117
2025-07-26 16:08:40,154 |     INFO | core.Core | 特征数量: 117
2025-07-26 16:08:43,104 |     INFO | core.Core | Unique ranker数量: 27625, 交叉验证折数: 10
2025-07-26 16:08:43,110 |     INFO | core.Core | Fold 1/10
2025-07-26 17:32:10,104 |     INFO | core.Core | 训练集: (5508690, 117), 验证集: (617324, 117)
2025-07-26 17:58:51,522 |     INFO | core.Core | 训练集组数: 24862, 总样本数: 5508690
2025-07-26 17:58:51,523 |     INFO | core.Core | 正在训练 XGBRanker
2025-07-26 18:00:21,053 |     INFO | core.Core | XGBRanker 训练完成 - HitRate@3: 0.4546
2025-07-26 18:00:21,054 |     INFO | core.Core | 正在训练 LGBMRanker
2025-07-26 18:01:53,485 |     INFO | core.Core | LGBMRanker 训练完成 - HitRate@3: 0.4437
2025-07-26 18:01:53,486 |     INFO | core.Core | Fold 1 - XGBRanker: HitRate@3 = 0.4546
