2025-07-29 10:02:00,099 |     INFO | core.Core | 初始化DataSegment: 8 个进程, chunk_size=200000
2025-07-29 10:02:00,100 |     INFO | core.Core | DataProcessor初始化: chunk_size=200000, n_processes=8
2025-07-29 10:02:00,561 |     INFO | core.Core | GPU加速可用: NVIDIA GeForce RTX 4060 Laptop GPU
2025-07-29 10:02:00,561 |     INFO | core.Core | GPU内存: 8.6GB
2025-07-29 10:02:00,562 |     INFO | core.Core | 并行训练设置: 32 进程，后端: threading
2025-07-29 10:02:00,562 |     INFO | core.Core | 训练器初始化完成
2025-07-29 10:02:00,562 |     INFO | core.Core | GPU推理可用: NVIDIA GeForce RTX 4060 Laptop GPU
2025-07-29 10:02:00,563 |     INFO | core.Core | GPU推理设置已优化
2025-07-29 10:02:00,573 |     INFO | core.Core | 推理批次大小: 3072
2025-07-29 10:02:00,573 |     INFO | core.Core | 预测器初始化完成
2025-07-29 10:02:00,574 |     INFO | core.Core | 核心控制器初始化完成
2025-07-29 10:02:00,574 |     INFO | core.Core | 开始完整流水线执行
2025-07-29 10:02:00,574 |     INFO | core.Core | 开始数据处理
2025-07-29 10:02:00,574 |     INFO | core.Core | 开始数据处理流水线
2025-07-29 10:02:00,575 |     INFO | core.Core | 所有输出文件已存在
2025-07-29 10:02:00,575 |     INFO | core.Core | 执行完整性验证...
2025-07-29 10:02:00,576 |     INFO | core.Core | 开始验证分割结果...
