2025-07-28 16:32:50,285 |     INFO | core.Core | 初始化DataSegment: 8 个进程, chunk_size=200000
2025-07-28 16:32:50,286 |     INFO | core.Core | DataProcessor初始化: chunk_size=200000, n_processes=8
2025-07-28 16:32:50,286 |     INFO | core.Core | 航班排名系统核心控制器初始化完成
2025-07-28 16:32:50,286 |     INFO | core.Core | ================================================================================
2025-07-28 16:32:50,286 |     INFO | core.Core | 开始完整流水线执行
2025-07-28 16:32:50,286 |     INFO | core.Core | ================================================================================
2025-07-28 16:32:50,286 |     INFO | core.Core | ============================================================
2025-07-28 16:32:50,287 |     INFO | core.Core | 开始数据处理阶段
2025-07-28 16:32:50,287 |     INFO | core.Core | ============================================================
2025-07-28 16:32:50,287 |     INFO | core.Core | 开始数据处理流水线
2025-07-28 16:32:50,287 |     INFO | core.Core | 所有输出文件已存在
2025-07-28 16:32:50,287 |     INFO | core.Core | 执行完整性验证...
2025-07-28 16:32:50,287 |     INFO | core.Core | 开始验证分割结果...
2025-07-28 16:33:03,468 |     INFO | core.Core | 验证结果:
2025-07-28 16:33:03,472 |     INFO | core.Core |   原始数据: 18,145,372 行, 105,539 ranker_id
2025-07-28 16:33:03,472 |     INFO | core.Core |   分割数据: 18,145,372 行, 105,539 ranker_id
2025-07-28 16:33:03,472 |     INFO | core.Core |   行数匹配: True, ranker_id匹配: True
2025-07-28 16:33:04,159 |     INFO | core.Core | 现有分割文件验证通过
2025-07-28 16:33:04,161 |     INFO | core.Core | 开始验证分割结果...
2025-07-28 16:33:07,841 |     INFO | core.Core | 验证结果:
2025-07-28 16:33:07,842 |     INFO | core.Core |   原始数据: 6,897,776 行, 45,231 ranker_id
2025-07-28 16:33:07,842 |     INFO | core.Core |   分割数据: 6,897,776 行, 45,231 ranker_id
2025-07-28 16:33:07,843 |     INFO | core.Core |   行数匹配: True, ranker_id匹配: True
2025-07-28 16:33:07,894 |     INFO | core.Core | 现有分割文件验证通过
2025-07-28 16:33:07,894 |     INFO | core.Core | 验证通过，跳过处理
2025-07-28 16:33:07,896 |     INFO | core.Core | process_pipeline 耗时: 17.61s
2025-07-28 16:33:07,896 |     INFO | core.Core | ✓ 数据处理阶段完成
2025-07-28 16:33:07,897 |     INFO | core.Core | run_data_processing 耗时: 17.61s
2025-07-28 16:33:07,897 |     INFO | core.Core | ============================================================
2025-07-28 16:33:07,897 |     INFO | core.Core | 开始模型训练阶段
2025-07-28 16:33:07,898 |     INFO | core.Core | ============================================================
2025-07-28 16:33:07,898 |     INFO | core.Core | ✓ 训练数据文件存在: train_segment_0.parquet
2025-07-28 16:33:07,898 |     INFO | core.Core | ✓ 训练数据文件存在: train_segment_1.parquet
2025-07-28 16:33:07,899 |     INFO | core.Core | ✓ 训练数据文件存在: train_segment_2.parquet
2025-07-28 16:33:36,161 |    ERROR | core.Core | ✗ 模型训练阶段失败
2025-07-28 16:33:36,161 |     INFO | core.Core | run_model_training 耗时: 28.26s
2025-07-28 16:33:36,162 |    ERROR | core.Core | 模型训练失败，终止流水线
2025-07-28 16:33:36,162 |     INFO | core.Core | run_full_pipeline 耗时: 45.88s
